ICRJJ;ICRJT
other;Perceptual choice
Intertemporal choice;Intertemporal choice
Inference;Inference
Perceptual choice;Perceptual choice
Judgment;Judgment
noJDM;noJDM
Categorization;Categorization
Other;Other
Preference;Preference
noJDM;noJDM
Preference;Preference
noJDM;noJDM
Risky choice;Risky choice
noJDM;noJDM
Risky choice;Risky choice
Preference;Preference
Intertemporal choice;Intertemporal choice
noJDM;noJDM
Other;Other
noJDM;noJDM
Intertemporal choice;Intertemporal choice
Risky choice;Risky choice
Risky choice;Risky choice
Intertemporal choice;Intertemporal choice
Preference;Preference
Risky choice;Risky choice
Categorization;Categorization
Categorization;Categorization
Judgment;Inference
Risky choice;Risky choice
Risky choice;Risky choice
Categorization;Categorization
Inference;Inference
Inference;Perceptual choice
Risky choice;Risky choice
Categorization;Categorization
Risky choice;Other
noJDM;noJDM
Categorization;Categorization
noJDM;noJDM
Other;Other
Risky choice;Risky choice
noJDM;noJDM
noJDM;Preference
Categorization;noJDM
noJDM;noJDM
Other;Inference
Other;Other
Inference;Inference
Inference;Preference
