id,start,end,marr_familiarMarrsLevels,marrclarifies_1not7completely,important_toBuildProcessModels,level,instructor,discipline,model,isPM
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"ACT-IF, Adaptive Control of Thought in Information Foraging
 (Pirolli & Card, 1999)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Additive Difference Model
 (Morrison 1962; Tversky, 1969)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Additive Trade-off Model between Informativeness and Accuracy
 (Yaniv & Foster, 1995)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Additive-utility Model of Delay Discounting
 (Killeen, 2009)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"ALM, Associative Learning Model
 (DeLosh, Busemeyer, McDaniel & 1997; Busemeyer, Byun, Delosh & McDaniel, 1997)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Anchoring and Adjustment Model
 (Kahneman & Tversky, 1982; Einhorn & Hogarth, 1985)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"ASCM, Adaptive Strategy Choice Model (of algebraic strategies)
 (Siegler & Shipley, 1995)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Associative Accumulation Model
 (Bhatia, 2013)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Attractor Model of Visual Discrimination
 (Wang, 2002)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Availability Heuristic
 (Tversky & Kahneman, 1973)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Beta Delta Preference Model of Temporal Discounting
 (Laibson, 1997)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Biased Encoding Model (associative storage network model of memory-based judgment)
 (e.g., Hastie, 1979; 1980)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Brunswik's Lens Model
 (Brunswik, 1956)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"BSR, Bayesian Sequential Risk Taking Model
 (Wallsten,  Pleskac, &  Lejuez,  2005; Pleskac, 2008)",Yes
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Causal Bayes Nets
 (Spirtes, Glymour, & Scheines, 1993; Pearl, 2000)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Complement Model of Charitable-giving
 (Bernheim, 1994)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Conditional Probability Model
 (Oaksford, Chater, & Larkin, 2000)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Constructed-Choice Model
 (Krantz & Kunreuther, 2007)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Constructionist Theory of Inference Generation 
 (Graesser, Singer, & Trabasso, 1994)",Yes
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"CPT, Cumulative Prospect Theory
 (Tversky & Kahneman, 1992)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Delta-Rule Model
 (Rescorla & Wagner, 1972)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Denrell's Experience Sampling Model
 (Denrell, 2005)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Dimensional Overlap Model
 (Kornblum, Hasbroucq, & Osman, 1990)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Dimensional Weight Model
 (Birnbaum & Stegner, 1979; Tversky, Sattath, & Slovic, 1988)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Discrete-Slot Model of Working Memory
 (Zhang & Luck, 2008, 2009)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"DM, Diffusion Model
 (Ratcliff, 1978)",Yes
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Dual Process Model of Deductive Inference
 (Verschueren, Schaeken, & d'Ydewalle, 2005)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"EBA, Elimination by Aspects
 (Tversky, 1972)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"EBM, Frequency-sensitive Exemplar Model
 (Nosofsky, 1988)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"EBRW, Exemplar-based Random Walk Model
 (Nosofksy & Palmeri, 1997)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"EGCM-RT, Extended Generalized Context Model for Reaction Times
 (Lamberts, 2000)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"EGCM, Extended Generalized Context Model
 (Lamberts, 1998)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"EW, Equal Weighting Model
 (Dawes, 1979)",No
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Exemplar Model
 (Medin & Schaffer, 1978)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Exemplar-Based Network Model
 (Nosofsky, Kruschke, McKinley, 1992)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Exponential Strategy Selection Model
 (Rieskamp & Otto, 2006)",No opinion
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"Extension of the Leaky, Competing Accumulator Model
 (Usher & McClelland, 2004)",Yes
R_01ZqzfMH9VZZVwp,10-12-2014 15:30,10-12-2014 15:37,No,,Yes,Professor,"Yes, I have.",Psychology,"FA Model, Fractional Adjustment Model
 (Weber, Shafir, & Blais, 2004)",No opinion
